Date,StreamOut_Q,HortSroff2Stream_Q,DunnSroff2Stream_Q,Interflow2Stream_Q,Stream2Unsat_Q,StreamExchng2Sat_Q,Canopy_S,SnowPweqv_S,Imperv_S,Dprst_S,Cap_S,Grav_S,Unsat_S,Sat_S,UnsatStream_S,Lake_S,Stream_S,Precip_Q,NetBoundaryFlow2Sat_Q,NetWellFlow_Q,BoundaryStreamFlow_Q,CanopyEvap_Q,SnowEvap_Q,ImpervEvap_Q,DprstEvap_Q,CapET_Q,SwaleEvap_Q,UnsatET_Q,SatET_Q,LakeEvap_Q,DunnInterflow2Lake_Q,HortSroff2Lake_Q,Lake2Unsat_Q,LakeExchng2Sat_Q,SoilDrainage2Unsat_Q,Sat2Grav_Q,RechargeUnsat2Sat_Q,Infil2Soil_Q,KKITER
10/01/1980,  0.1720236E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.4562106E+01, -0.6693423E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3351975E+06, -0.2226657E-01,  0.1127308E+08,  0.1707445E+09,  0.5670641E+03,  0.4260692E+06,  0.0000000E+00,  0.0000000E+00, -0.5767949E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3135910E+04,  0.0000000E+00,  0.2920029E+05,  0.2407614E+04,  0.7873563E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.2299613E+04,  0.0000000E+00,  0.2461375E+03,  0.3208233E+05,  0.0000000E+00,    5
10/02/1980,  0.1727744E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.5415658E+01, -0.7346424E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3325492E+06, -0.2316847E-01,  0.1121545E+08,  0.1707627E+09,  0.8686389E+03,  0.4174042E+06,  0.0000000E+00,  0.0000000E+00, -0.5916113E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2915531E+04,  0.0000000E+00,  0.2716053E+05,  0.2439392E+04,  0.7404259E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.2308378E+04,  0.0000000E+00,  0.2671936E+03,  0.3062324E+05,  0.0000000E+00,    5
10/03/1980,  0.1887294E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.5376223E+01, -0.7503857E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3299325E+06, -0.2441884E-01,  0.1115924E+08,  0.1707793E+09,  0.9769592E+03,  0.4075034E+06,  0.0000000E+00,  0.0000000E+00, -0.6064908E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2903713E+04,  0.0000000E+00,  0.2710997E+05,  0.2610838E+04,  0.7425211E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.2319435E+04,  0.0000000E+00,  0.2869945E+03,  0.2922796E+05,  0.0000000E+00,    5
10/04/1980,  0.1882605E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.5490149E+01, -0.7784074E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3274875E+06, -0.2562168E-01,  0.1110560E+08,  0.1707942E+09,  0.1126779E+04,  0.3979335E+06,  0.0000000E+00,  0.0000000E+00, -0.6206601E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2750304E+04,  0.0000000E+00,  0.2573948E+05,  0.2628407E+04,  0.7101786E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.2332478E+04,  0.0000000E+00,  0.3053049E+03,  0.2800640E+05,  0.0000000E+00,    5
10/05/1980,  0.1883133E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.5560782E+01, -0.7860158E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3251048E+06, -0.2657581E-01,  0.1105329E+08,  0.1708080E+09,  0.1158666E+04,  0.3885765E+06,  0.0000000E+00,  0.0000000E+00, -0.6336235E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2702131E+04,  0.0000000E+00,  0.2536483E+05,  0.2717287E+04,  0.7032113E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.2349695E+04,  0.0000000E+00,  0.3193844E+03,  0.2703538E+05,  0.0000000E+00,    5
10/06/1980,  0.1883616E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.5619658E+01, -0.7935441E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3228768E+06, -0.2779522E-01,  0.1100301E+08,  0.1708211E+09,  0.1132392E+04,  0.3793990E+06,  0.0000000E+00,  0.0000000E+00, -0.6458565E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2569616E+04,  0.0000000E+00,  0.2399175E+05,  0.2674882E+04,  0.6699918E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.2366957E+04,  0.0000000E+00,  0.3417114E+03,  0.2635363E+05,  0.0000000E+00,    7
10/07/1980,  0.1884007E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.5668529E+01, -0.8031059E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3207876E+06, -0.2794294E-01,  0.1095442E+08,  0.1708334E+09,  0.1106204E+04,  0.3703550E+06,  0.0000000E+00,  0.0000000E+00, -0.6576791E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2455010E+04,  0.0000000E+00,  0.2285647E+05,  0.2648413E+04,  0.6425764E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.2381467E+04,  0.0000000E+00,  0.3657809E+03,  0.2580261E+05,  0.0000000E+00,    7
10/08/1980,  0.1884342E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.6139899E+01, -0.8201536E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3188536E+06, -0.2797612E-01,  0.1090758E+08,  0.1708452E+09,  0.1149970E+04,  0.3614515E+06,  0.0000000E+00,  0.0000000E+00, -0.6691218E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2318052E+04,  0.0000000E+00,  0.2155716E+05,  0.2594669E+04,  0.6108532E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.2393269E+04,  0.0000000E+00,  0.3840695E+03,  0.2533696E+05,  0.0000000E+00,    5
10/09/1980,  0.1884678E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.6927063E+01, -0.8429268E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3172133E+06, -0.2845359E-01,  0.1086368E+08,  0.1708566E+09,  0.1296395E+04,  0.3527477E+06,  0.0000000E+00,  0.0000000E+00, -0.6802606E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2044277E+04,  0.0000000E+00,  0.1896471E+05,  0.2361007E+04,  0.5452239E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.2405673E+04,  0.0000000E+00,  0.4039218E+03,  0.2496825E+05,  0.0000000E+00,    5
10/10/1980,  0.1885029E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.7345232E+01, -0.8526570E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3158847E+06, -0.2925883E-01,  0.1082276E+08,  0.1708679E+09,  0.1414115E+04,  0.3442513E+06,  0.0000000E+00,  0.0000000E+00, -0.6910292E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1755285E+04,  0.0000000E+00,  0.1618440E+05,  0.2087869E+04,  0.4727941E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.2417986E+04,  0.0000000E+00,  0.4267490E+03,  0.2476895E+05,  0.0000000E+00,    5
10/11/1980,  0.1885278E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.7003448E+01, -0.8334178E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3148575E+06, -0.2997213E-01,  0.1078480E+08,  0.1708795E+09,  0.1569301E+04,  0.3355912E+06,  0.0000000E+00,  0.0000000E+00, -0.7011741E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1474187E+04,  0.0000000E+00,  0.1331943E+05,  0.1799632E+04,  0.4164126E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.2430236E+04,  0.0000000E+00,  0.4469038E+03,  0.2467370E+05,  0.0000000E+00,    5
10/12/1980,  0.1886564E+05,  0.1259287E+03,  0.0000000E+00,  0.2312054E+03,  0.8082366E+01, -0.8553745E+04,  0.4615212E+05,  0.4943684E+05,  0.0000000E+00,  0.0000000E+00,  0.6747980E+06,  0.1678638E+05,  0.1075667E+08,  0.1708923E+09,  0.1758001E+04,  0.3373871E+06,  0.0000000E+00,  0.4833713E+06, -0.7104019E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1555625E+04,  0.0000000E+00,  0.3431379E+04,  0.4604639E+03,  0.1227326E+03,  0.1091451E+02,  0.5840114E+01,  0.0000000E+00, -0.2429337E+04,  0.0000000E+00,  0.4901468E+03,  0.2470282E+05,  0.3780345E+06,    9
10/13/1980,  0.1886929E+05,  0.0000000E+00,  0.0000000E+00,  0.1520216E+03,  0.8067406E+01, -0.9019511E+04,  0.4225306E+05,  0.2859630E+05,  0.0000000E+00,  0.0000000E+00,  0.6961085E+06,  0.1665374E+05,  0.1073205E+08,  0.1709049E+09,  0.1851874E+04,  0.3299560E+06,  0.0000000E+00,  0.0000000E+00, -0.7199843E+02,  0.0000000E+00,  0.0000000E+00,  0.3899057E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1206972E+02,  0.0000000E+00,  0.3410633E+02,  0.3718200E+01,  0.8365253E+02,  0.7607456E+01,  0.0000000E+00,  0.0000000E+00, -0.2436514E+04,  0.0000000E+00,  0.5090288E+03,  0.2459192E+05,  0.2084054E+05,    9
10/14/1980,  0.1887693E+05,  0.5723087E+00,  0.0000000E+00,  0.1585904E+03,  0.8094104E+01, -0.9011928E+04,  0.6676890E+05,  0.1367017E+06,  0.0000000E+00,  0.0000000E+00,  0.7233753E+06,  0.1684209E+05,  0.1070592E+08,  0.1709172E+09,  0.1840957E+04,  0.3259114E+06,  0.0000000E+00,  0.1638547E+06, -0.7275406E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.8821295E+03,  0.0000000E+00,  0.1658756E+04,  0.2278132E+03,  0.5988838E+02,  0.7796099E+01,  0.0000000E+00,  0.0000000E+00, -0.2442746E+04,  0.0000000E+00,  0.5304693E+03,  0.2446853E+05,  0.2797321E+05,   10
10/15/1980,  0.1874571E+05,  0.0000000E+00,  0.0000000E+00,  0.1398138E+03,  0.7533885E+01, -0.8995799E+04,  0.6676890E+05,  0.1668946E+06,  0.0000000E+00,  0.0000000E+00,  0.7260328E+06,  0.1586792E+05,  0.1068030E+08,  0.1709294E+09,  0.1815132E+04,  0.3193942E+06,  0.0000000E+00,  0.3277093E+05, -0.7351482E+02,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.6498939E+03,  0.0000000E+00,  0.1199536E+04,  0.1675693E+03,  0.4233893E+02,  0.6861738E+01,  0.0000000E+00,  0.0000000E+00, -0.2450627E+04,  0.0000000E+00,  0.5537181E+03,  0.2442319E+05,  0.1926146E+04,    9
